City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
524,Gamba,GA,75.18,light rain,-2.65,10.0,
527,Kloulklubed,PW,81.54,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
528,Gat,IL,71.4,broken clouds,31.61,34.7642,OlusHome
530,Ouallam,NE,82.18,scattered clouds,14.3188,2.0866,
532,Tabuk,PH,75.7,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
534,Anloga,GH,79.34,few clouds,5.7947,0.8973,Pin Drop Hotel
538,Coahuayana,MX,75.43,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
539,Victoria Point,AU,72.18,moderate rain,-27.5833,153.3,Bay Retreat Motel
540,Vao,NC,71.46,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
542,Labuhan,ID,85.73,moderate rain,-6.8844,112.2051,DoubleFAG
543,Albury,AU,71.15,moderate rain,-36.0833,146.9167,Albury Georgian Motel & Suites
544,Panama City,PA,78.39,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
547,Jibuti,DJ,74.37,clear sky,11.5,42.5,Orchid Main Camp Goubet
548,Mattru,SL,71.73,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
549,Embu,BR,73.11,light rain,-23.6489,-46.8522,Hotel Rancho Silvestre
550,Boyolangu,ID,84.07,light rain,-8.1181,111.8935,Yos ega cv
553,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
554,Lorengau,PG,85.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
555,Honiara,SB,83.68,overcast clouds,-9.4333,159.95,Heritage Park Hotel
559,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
560,Ponnampet,IN,74.5,broken clouds,12.15,75.9333,The Yellow Bamboo Resort & Spa
561,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
562,Cabedelo,BR,76.59,clear sky,-6.9811,-34.8339,Pousada Camboinha
564,Tevaitoa,PF,78.84,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
566,San Pedro,PH,87.35,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
568,Yeppoon,AU,78.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
569,Rajanpur,PK,81.82,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
570,Fukue,JP,70.11,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
571,Bandarbeyla,SO,78.94,clear sky,9.4942,50.8122,JABIR HOTEL
572,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
575,Sorong,ID,84.87,broken clouds,-0.8833,131.25,Waigo Splash Hotel
576,Moussoro,TD,81.28,few clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
579,Amuntai,ID,86.34,overcast clouds,-2.4177,115.2494,Hotel Balqis
580,Ransang,PH,85.08,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
581,Yining,CN,80.49,broken clouds,29.0361,114.5636,Xiushui Hotel
582,Palmas De Monte Alto,BR,73.53,broken clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
583,Mao,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
585,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
587,Karema,TZ,76.98,overcast clouds,-6.8205,30.4389,
588,Puerto Maldonado,PE,75.09,overcast clouds,-12.6,-69.1833,Wasai Hotel
590,Cozumel,MX,78.08,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
592,Farafangana,MG,74.01,scattered clouds,-22.8167,47.8333,Miarina
594,Coruripe,BR,73.22,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
595,Mareeba,AU,77.49,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
599,Bluefields,NI,76.8,broken clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
602,Puerto Leguizamo,CO,71.94,broken clouds,-0.1934,-74.7819,la casona de juancho
603,Santiago De Cuba,CU,74.25,overcast clouds,20.0247,-75.8219,Cubanacan San Felix
604,Gizo,SB,83.84,moderate rain,-8.103,156.8419,Imagination Island
620,Muroto,JP,70.54,broken clouds,33.2833,134.15,Oota Ryokan
621,Carutapera,BR,77.04,broken clouds,-1.195,-46.02,Lidera
627,Rawah,IQ,70.07,few clouds,34.4816,41.9093,عمر
628,Barka Kana,IN,75.04,clear sky,23.6167,85.4833,HOTEL TREAT RESIDENCY
633,Qena,EG,73.13,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
634,Mariel,CU,71.11,broken clouds,22.9875,-82.7536,Casa De Alojamiento Marilda
636,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
637,Gorontalo,ID,87.42,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
639,San Juan,AR,70.27,clear sky,-31.5375,-68.5364,Hotel Provincial
644,Mana,GF,78.66,broken clouds,5.6592,-53.7767,LE SAMANA
646,Sinnamary,GF,78.76,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
647,Inirida,CO,73.38,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
655,Takoradi,GH,76.24,broken clouds,4.8845,-1.7554,Raybow International Hotel
657,Vejalpur,IN,82.44,clear sky,22.6833,73.5667,Indore
662,Shimoni,KE,75.29,overcast clouds,-4.6476,39.3817,Shimoni Reef Lodge
663,Charlestown,AU,75.69,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
666,Mabaruma,GY,74.61,few clouds,8.2,-59.7833,Monty Brooms Guest House
667,Luang Prabang,LA,85.19,clear sky,19.8856,102.1347,The Luang Say Residence
670,Port Augusta,AU,78.44,clear sky,-32.5,137.7667,Majestic Oasis Apartments
678,Baiao,BR,74.77,few clouds,-2.7906,-49.6717,Município de Baião
681,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
682,Imbituba,BR,73.85,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
687,Sibolga,ID,77.83,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
692,Sompeta,IN,81.84,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
695,Odweyne,SO,70.74,light rain,9.4092,45.064,Eng Hiirey House
696,Upington,ZA,72.7,broken clouds,-28.4478,21.2561,River Place Manor
697,Galveston,US,71.56,clear sky,29.3669,-94.9669,Crystal Suites
701,Nago,JP,81.45,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
703,Sola,VU,81.84,broken clouds,-13.8833,167.55,Leumerus Bungalows
704,Barabai,ID,86.52,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
705,Oranjestad,AW,82.9,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
706,Bam,IR,75.6,clear sky,29.106,58.357,Bam Tourist Hotel
707,Fukuma,JP,78.3,overcast clouds,33.7667,130.4667,Masago
708,Linhares,BR,70.59,scattered clouds,-19.3911,-40.0722,Hotel Conceição
