City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
110,Flinders,AU,-34.5833,150.8552,70.38,85,100,5.39,light rain
111,Itarema,BR,-2.9248,-39.9167,78.04,83,79,14.74,broken clouds
112,Sechura,PE,-5.5569,-80.8222,59.97,87,84,11.52,broken clouds
113,Ostrovnoy,RU,68.0531,39.5131,36.25,66,100,28.61,light rain
114,Yellowknife,CA,62.456,-114.3525,31.03,75,21,10.67,few clouds
115,Ketchikan,US,55.3422,-131.6461,46.98,89,100,3.78,overcast clouds
116,Majene,ID,-3.5403,118.9707,86.14,68,82,4.12,broken clouds
117,Fairbanks,US,64.8378,-147.7164,36.61,92,100,8.05,light snow
118,Erzin,TR,36.9559,36.2,65.21,84,20,1.63,few clouds
119,Carnarvon,AU,-24.8667,113.6333,71.74,55,1,11.95,clear sky
120,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,40,6.91,scattered clouds
121,Buritis,BR,-15.6178,-46.4233,78.22,40,86,1.66,overcast clouds
122,Vardo,NO,70.3705,31.1107,31.98,93,100,11.5,overcast clouds
123,Cabo San Lucas,MX,22.8909,-109.9124,80.62,78,9,5.99,clear sky
124,Sao Filipe,CV,14.8961,-24.4956,77.13,82,8,5.06,clear sky
125,Sao Pedro Do Sul,BR,-29.6206,-54.1789,65.39,96,96,8.75,overcast clouds
126,Denizli,TR,37.8402,29.0698,52.66,82,0,3.33,clear sky
127,Puerto Quijarro,BO,-17.7833,-57.7667,73.33,97,99,4.61,moderate rain
128,Beringovskiy,RU,63.05,179.3167,35.83,82,83,9.22,broken clouds
129,Vostok,RU,46.4856,135.8833,51.19,52,100,3.09,overcast clouds
130,Haines Junction,CA,60.7522,-137.5108,36.23,98,100,3.15,overcast clouds
131,Te Anau,NZ,-45.4167,167.7167,53.62,44,25,3.09,scattered clouds
132,Ulaangom,MN,49.9811,92.0667,41.86,39,76,0.63,broken clouds
133,Buala,SB,-8.145,159.5921,84.9,71,97,6.49,light rain
134,Alofi,NU,-19.0595,-169.9187,77.49,77,87,1.81,light rain
135,Khani,GE,41.9563,42.9566,44.17,96,100,4.72,overcast clouds
136,Araouane,ML,18.9048,-3.5265,83.91,19,99,3.53,overcast clouds
137,Mbandaka,CD,0.0487,18.2603,69.53,98,100,4.88,overcast clouds
138,Alta Floresta,BR,-9.8756,-56.0861,72.5,93,72,2.53,broken clouds
139,Honolulu,US,21.3069,-157.8583,78.73,77,20,3.44,few clouds
140,Simao Dias,BR,-10.7383,-37.8111,65.77,93,8,3.87,clear sky
141,Batagay-Alyta,RU,67.8006,130.4114,8.55,79,80,1.92,broken clouds
142,Antalaha,MG,-14.9003,50.2788,72.79,69,78,6.4,broken clouds
143,Sundsvall,SE,62.3913,17.3063,36.97,83,31,1.14,fog
144,Port Lincoln,AU,-34.7333,135.8667,69.08,52,41,11.36,scattered clouds
145,Avarua,CK,-21.2078,-159.775,75.25,83,75,12.66,broken clouds
146,Ipixuna,BR,-1.7625,-48.8043,74.91,90,4,3.96,clear sky
